epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0112,2.49039,4.38475,1.36336,0,0,0,0,1.90056,4.21981,1.00827,0.000967742,0.000967742,0.001
2,138.668,1.65104,4.04506,1.01369,0.00085,0.03238,7e-05,1e-05,1.74695,4.29322,1.02485,0.000967,0.000967,0.000967
3,204.103,1.44048,3.67646,0.94088,0.01401,0.37345,0.01567,0.00691,1.48109,4.03054,0.91512,0.000934,0.000934,0.000934
4,273.39,1.35034,3.24359,0.91497,0.90321,0.06404,0.19266,0.08222,1.46223,3.44054,0.94155,0.000901,0.000901,0.000901
5,338.606,1.29896,2.76654,0.90214,0.87603,0.23308,0.37865,0.20247,1.52102,2.80104,0.94821,0.000868,0.000868,0.000868
6,405.395,1.24878,2.26467,0.89276,0.58779,0.43659,0.52611,0.29172,1.47003,2.18996,0.95221,0.000835,0.000835,0.000835
7,476.596,1.2101,1.8389,0.88433,0.59285,0.61898,0.648,0.37927,1.46321,1.75427,0.94601,0.000802,0.000802,0.000802
8,547.383,1.18027,1.48594,0.88291,0.65081,0.61378,0.68258,0.4076,1.44958,1.58924,0.9382,0.000769,0.000769,0.000769
9,613.605,1.12623,1.2269,0.87098,0.73713,0.68186,0.75029,0.44875,1.40032,1.47903,0.92084,0.000736,0.000736,0.000736
10,677.206,1.09431,1.08021,0.86975,0.73402,0.75065,0.79635,0.48322,1.42851,1.35203,0.932,0.000703,0.000703,0.000703
11,734.595,1.03022,0.96487,0.8601,0.84042,0.64945,0.79914,0.50472,1.4024,1.36378,0.94015,0.00067,0.00067,0.00067
12,774.152,0.99253,0.88948,0.85586,0.75479,0.74842,0.79298,0.49919,1.35708,1.30639,0.91038,0.000637,0.000637,0.000637
13,817.676,0.94244,0.8585,0.84824,0.78606,0.72294,0.80617,0.50999,1.34395,1.27859,0.91877,0.000604,0.000604,0.000604
14,875.386,0.91584,0.82015,0.84324,0.77441,0.72464,0.79074,0.50751,1.35181,1.26448,0.91537,0.000571,0.000571,0.000571
15,932.54,0.89375,0.78689,0.83986,0.77783,0.75946,0.80402,0.52007,1.35233,1.2512,0.91563,0.000538,0.000538,0.000538
16,981.194,0.84109,0.7434,0.83441,0.78612,0.80544,0.82535,0.53558,1.32148,1.21334,0.90968,0.000505,0.000505,0.000505
17,1028.78,0.79725,0.70546,0.83078,0.80067,0.78309,0.82473,0.53459,1.33058,1.2137,0.91136,0.000472,0.000472,0.000472
18,1076.49,0.77205,0.68206,0.82706,0.77281,0.78451,0.82116,0.53372,1.31194,1.22059,0.90848,0.000439,0.000439,0.000439
19,1123.89,0.74156,0.6627,0.82517,0.79302,0.7824,0.82432,0.53252,1.31108,1.15226,0.90654,0.000406,0.000406,0.000406
20,1171.27,0.71942,0.64771,0.82227,0.7862,0.79,0.82809,0.54096,1.30804,1.13346,0.91013,0.000373,0.000373,0.000373
21,1214.04,0.695,0.62747,0.81837,0.75235,0.79123,0.82516,0.5339,1.31796,1.14151,0.91271,0.00034,0.00034,0.00034
22,1259.76,0.66831,0.6141,0.81637,0.76231,0.81271,0.83357,0.53707,1.31722,1.1089,0.90978,0.000307,0.000307,0.000307
23,1304.12,0.64658,0.59106,0.81435,0.78107,0.77511,0.83372,0.54942,1.31451,1.1237,0.91115,0.000274,0.000274,0.000274
24,1352.06,0.62677,0.58351,0.81203,0.7689,0.82232,0.82947,0.53791,1.31362,1.1004,0.90708,0.000241,0.000241,0.000241
25,1403.43,0.59743,0.56573,0.81052,0.76569,0.79749,0.82636,0.53774,1.3191,1.10551,0.90737,0.000208,0.000208,0.000208
26,1475.53,0.57965,0.56488,0.80837,0.77756,0.78264,0.83081,0.54229,1.30569,1.0916,0.90477,0.000175,0.000175,0.000175
27,1541.36,0.56152,0.55813,0.80636,0.73918,0.80978,0.8308,0.5435,1.31523,1.08247,0.90773,0.000142,0.000142,0.000142
28,1602.72,0.54982,0.54682,0.8075,0.74701,0.82973,0.8359,0.54152,1.31567,1.07239,0.90606,0.000109,0.000109,0.000109
29,1673.15,0.54321,0.54158,0.80662,0.74606,0.83348,0.83235,0.54293,1.31859,1.07607,0.90591,7.6e-05,7.6e-05,7.6e-05
30,1732.14,0.52662,0.53898,0.80489,0.78522,0.77406,0.82737,0.53655,1.32134,1.08426,0.90756,4.3e-05,4.3e-05,4.3e-05
