label,gtin,gtin_checksum_valid,all_xml_instances,paired_instances,paired_images,filename_dates,box_issue_count
redbull___33__90162909,90162909,True,880,849,233,11,0
coke__flasche_50__54491472,54491472,True,478,454,215,11,0
c+swiss_dosenabisicetea__33__9120025930135,9120025930135,True,401,378,187,8,0
knoppers_riegel____4035800488808,4035800488808,True,396,358,210,11,0
caprisun_multivitamin__20__4000177605004,4000177605004,True,373,344,176,8,0
valser_classic__50__76404160,76404160,True,303,295,207,11,0
fuse_peach__50__5449000236623,5449000236623,True,302,295,217,11,0
fuse_lemon__50__5449000235947,5449000235947,True,296,288,218,11,0
valser_still__50__7610335002575,7610335002575,True,267,263,185,11,0
coke_zero_flasche_50__5449000131836,5449000131836,True,240,231,175,11,0
snickers___50__5000159461122,5000159461122,True,231,216,215,11,0
ramseier_schorle__50__7610057012456,7610057012456,True,209,202,177,8,0
mnms_gelb__45__40111445,40111445,True,205,195,194,11,0
fanta___50__40822938,40822938,True,194,185,182,9,0
twix___50__5000159459228,5000159459228,True,188,171,171,8,0
bifi_roll__50__4251097402635,4251097402635,True,188,172,172,8,0
coke__dose_33__54491472,54491472,True,188,184,166,7,0
malburner_partysticks__40__7610200279682,7610200279682,True,185,171,171,8,0
zweifel_paprika__90__7610095013002,7610095013002,True,184,173,164,10,0
fuse_lemon_dose_33__5449000235947,5449000235947,True,183,171,169,7,0
kagi___50__7610046000259,7610046000259,True,175,163,163,10,0
oreo___66__84100733,84100733,True,171,157,157,7,0
lorenz_nicnacs__40__4018077798818,4018077798818,True,165,151,151,8,0
maltesers___100__5000159023061,5000159023061,True,164,152,152,8,0
fini_jellykisses_packung_80_1_8410525116704,8410525116704,True,162,149,148,8,0
jacklinks_beefjerkyorginal__25__4047751730219,4047751730219,True,159,147,147,8,0
bueno___43__4008400320328,4008400320328,True,158,145,145,6,0
comella_schokodrink__33__7613100037253,7613100037253,True,158,150,150,8,0
zweifel_graneochilli__100__7610095184009,7610095184009,True,155,142,142,7,0
caferoyal_classicmacchiato__33__7617014164487,7617014164487,True,149,141,140,7,0
fini_galaxymix_packung_100_1_8410525150364,8410525150364,True,148,138,137,7,0
airwaves_menthoneucalyptus_riegel_14_1_50173167,50173167,True,143,130,130,8,0
stimorol_wildcherry_riegel_14_1_57060330,57060330,True,143,131,131,7,0
volvic_pinapple__50__305764335648,305764335648,False,134,125,121,3,0
redbull_light__33__90162800,90162800,True,118,108,105,8,0
powerbar_proteinplusschoko__55__4029679520028,4029679520028,True,110,99,99,4,0
7days_croissantschoko_packung_80_1_0000000000003,0000000000003,False,108,101,101,4,0
stimorol_spearmint_riegel_14_1_0000000000005,0000000000005,False,98,98,98,7,0
volvic_teeminze__50__3057640335648,3057640335648,True,97,97,53,5,0
skittles_sour_riegel_51_1_0000000000004,0000000000004,False,96,96,96,7,0
evian___50__3068320353500,3068320353500,True,90,87,87,9,0
tiki_himbeer_brause__50__00000000009342,00000000009342,False,80,80,80,3,0
jlbrichard_gauffre__90__5410495002000,5410495002000,True,77,74,74,3,0
jlbrichard_gauffrechoko__90__5410495002079,5410495002079,True,68,62,62,7,0
tiki_himbeerbrause_dose_33_1_,,False,61,49,49,2,0
rivella_rot__50__7610097111072,7610097111072,True,53,53,51,5,0
ragusa___50__76401121,76401121,True,51,51,51,5,0
skittles_sour_riegel_51_1_,,False,50,37,37,1,0
torino___46__76415272,76415272,True,48,48,48,5,0
stimorol_spearmint_riegel_14_1_,,False,48,35,35,1,0
darwida_sandwich____7610032065170,7610032065170,True,47,47,47,5,0
toffifee___33__4014400924275,4014400924275,True,40,40,24,4,0
ramseier_jusdepomme__50__7610057001078,7610057001078,True,38,38,38,5,0
mezzomix___50__54490840,54490840,True,34,34,34,5,0
sinalco_orange__50__4018715000112,4018715000112,True,34,34,32,3,0
valser_vivabirne__50__7610335001530,7610335001530,True,33,33,33,5,0
kagi_specialedition__50__7610046000259,7610046000259,True,30,30,30,4,0
henniez_rot__33__7610235000442,7610235000442,True,29,29,29,2,0
balisto_muesli__37g__5000159418546,5000159418546,True,28,28,28,5,0
schweppes_citrus__50__,,False,28,28,28,5,0
vitaminwell_reload__50__7350042716388,7350042716388,True,27,27,27,4,0
pepsi_max__50__4060800105943,4060800105943,True,27,27,27,2,0
berger_schoggitoertli____,,False,20,19,19,2,0
henniez_blau__33__7610235000442,7610235000442,True,20,20,19,2,0
berger____,,False,19,9,9,0,0
granini_orange__50__,,False,18,18,18,3,0
milka_tender____,,False,18,18,17,1,0
milka_oreo_riegel_37_1_7622210704740,7622210704740,True,17,17,17,2,0
zweifel_salz__90__7610095005007,7610095005007,True,12,12,12,1,0
berger_nusstoertli____,,False,11,11,11,2,0
schweppes_bitterlemon__50__,,False,11,11,11,1,0
berger_bruensli____,,False,9,9,9,3,0
momo_icetea__50__,,False,9,9,9,1,0
vivitz_classiczitrone__50__,,False,9,9,9,1,0
henniez_gruen__33__7610235000442,7610235000442,True,9,9,9,2,0
snickers_weiß__50__5000159461122,5000159461122,True,7,7,7,1,0
erle____,,False,7,7,7,1,0
berger_spitzbueb___,,False,6,4,4,0,0
berger_spitzbueb____,,False,6,6,6,1,0
fuse_blackicetea__50__,,False,6,6,3,1,0
fuse_peach_dose_33__5449000236623,5449000236623,True,6,6,6,2,0
berger_mailaenderli____7610404550006,7610404550006,True,5,5,5,1,0
lorenz_studentenfutter____,,False,5,5,5,1,0
coke_light_flasche_50__5449238,,False,5,5,5,1,0
volvic_teeminze__50__,,False,4,4,2,1,0
darwida_chocaulait____,,False,4,4,4,1,0
sinalco___50__,,False,4,4,2,1,0
berger_brunsli___,,False,3,3,3,0,0
granini_orange___,,False,3,3,3,0,0
coke___50__54491472,54491472,True,3,3,1,1,0
sprite__flasche_50__,,False,3,3,1,1,0
kitkat_____,,False,3,3,3,1,0
lindt_nocciolate____,,False,3,3,3,1,0
balisto_yoberry__37g__,,False,3,3,3,1,0
panettone_____,,False,3,3,3,1,0
vivitz_gruentee__50__,,False,3,3,3,1,0
ramseier_jusdepomme_tetrapak_33__7610057001078,7610057001078,True,3,3,3,1,0
ramseier_orange_tetrapak_33__,,False,3,3,3,1,0
volvic_pink__50__,,False,3,3,3,1,0
c+swiss_dosenabisicetea__33_,,False,2,2,1,1,0
maltesers_teasers__35__5000159462129,5000159462129,True,2,2,2,1,0
b_tarteaupomme____,,False,2,2,2,1,0
haribo_goldbaerensauer____,,False,2,2,2,1,0
berger_vogelnestli____,,False,2,2,2,1,0
bounty_____,,False,2,2,2,1,0
berger_???____,,False,2,2,2,1,0
zweifel_saltedpeanuts____,,False,2,2,2,1,0
corny_schoko____,,False,2,2,2,1,0
kinder_delice____,,False,2,2,2,1,0
ovomaltine_kekse____,,False,2,2,2,1,0
branche_maxi____,,False,2,2,2,1,0
comella_schokodrink_flasche_50__7613100037253,7613100037253,True,2,2,2,1,0
wasser_???____,,False,2,2,2,1,0
redbull_light__33__90162800#,,False,1,1,1,1,0
milka_peanutbutter____,,False,1,1,1,1,0
