source_label,positive_images,instances,scene_groups,images_with_2plus
7days_croissantschoko_packung_80_1_0000000000003,90,90,27,0
airwaves_menthoneucalyptus_riegel_14_1_50173167,117,117,25,0
b_tarteaupomme____,0,0,0,0
balisto_muesli__37g__5000159418546,0,0,0,0
balisto_yoberry__37g__,0,0,0,0
berger_???____,0,0,0,0
berger____,6,6,3,0
berger_bruensli____,1,1,1,0
berger_brunsli___,0,0,0,0
berger_mailaenderli____7610404550006,0,0,0,0
berger_nusstoertli____,0,0,0,0
berger_schoggitoertli____,18,18,12,0
berger_spitzbueb___,4,4,2,0
berger_spitzbueb____,6,6,3,0
berger_vogelnestli____,0,0,0,0
bifi_roll__50__4251097402635,150,150,28,0
bounty_____,0,0,0,0
branche_maxi____,0,0,0,0
bueno___43__4008400320328,94,94,24,0
c+swiss_dosenabisicetea__33_,1,2,1,1
c+swiss_dosenabisicetea__33__9120025930135,160,325,33,155
caferoyal_classicmacchiato__33__7617014164487,120,121,28,1
caprisun_multivitamin__20__4000177605004,151,300,29,147
coke___50__54491472,1,3,1,1
coke__dose_33__54491472,148,162,33,12
coke__flasche_50__54491472,140,291,32,108
coke_light_flasche_50__5449238,0,0,0,0
coke_zero_flasche_50__5449000131836,109,116,32,7
comella_schokodrink__33__7613100037253,134,134,29,0
comella_schokodrink_flasche_50__7613100037253,0,0,0,0
corny_schoko____,0,0,0,0
darwida_chocaulait____,0,0,0,0
darwida_sandwich____7610032065170,0,0,0,0
erle____,0,0,0,0
evian___50__3068320353500,26,26,16,0
fanta___50__40822938,117,119,31,2
fini_galaxymix_packung_100_1_8410525150364,121,122,28,1
fini_jellykisses_packung_80_1_8410525116704,130,131,26,1
fuse_blackicetea__50__,0,0,0,0
fuse_lemon__50__5449000235947,139,156,33,15
fuse_lemon_dose_33__5449000235947,147,149,33,2
fuse_peach__50__5449000236623,140,164,33,22
fuse_peach_dose_33__5449000236623,5,5,2,0
granini_orange__50__,0,0,0,0
granini_orange___,0,0,0,0
haribo_goldbaerensauer____,0,0,0,0
henniez_blau__33__7610235000442,15,15,10,0
henniez_gruen__33__7610235000442,4,4,4,0
henniez_rot__33__7610235000442,24,24,15,0
jacklinks_beefjerkyorginal__25__4047751730219,130,130,28,0
jlbrichard_gauffre__90__5410495002000,62,62,20,0
jlbrichard_gauffrechoko__90__5410495002079,59,59,22,0
kagi___50__7610046000259,110,110,27,0
kagi_specialedition__50__7610046000259,22,22,12,0
kinder_delice____,0,0,0,0
kitkat_____,0,0,0,0
knoppers_riegel____4035800488808,138,268,28,66
lindt_nocciolate____,0,0,0,0
lorenz_nicnacs__40__4018077798818,134,134,26,0
lorenz_studentenfutter____,0,0,0,0
malburner_partysticks__40__7610200279682,140,140,28,0
maltesers___100__5000159023061,134,134,28,0
maltesers_teasers__35__5000159462129,0,0,0,0
mezzomix___50__54490840,0,0,0,0
milka_oreo_riegel_37_1_7622210704740,1,1,1,0
milka_peanutbutter____,1,1,1,0
milka_tender____,0,0,0,0
mnms_gelb__45__40111445,123,123,28,0
momo_icetea__50__,0,0,0,0
oreo___66__84100733,140,140,26,0
ovomaltine_kekse____,0,0,0,0
panettone_____,0,0,0,0
pepsi_max__50__4060800105943,22,22,15,0
powerbar_proteinplusschoko__55__4029679520028,78,78,23,0
ragusa___50__76401121,0,0,0,0
ramseier_jusdepomme__50__7610057001078,0,0,0,0
ramseier_jusdepomme_tetrapak_33__7610057001078,0,0,0,0
ramseier_orange_tetrapak_33__,0,0,0,0
ramseier_schorle__50__7610057012456,145,157,32,12
redbull___33__90162909,152,597,33,150
redbull_light__33__90162800,91,94,26,3
redbull_light__33__90162800#,1,1,1,0
rivella_rot__50__7610097111072,0,0,0,0
schweppes_bitterlemon__50__,0,0,0,0
schweppes_citrus__50__,0,0,0,0
sinalco___50__,0,0,0,0
sinalco_orange__50__4018715000112,24,25,15,1
skittles_sour_riegel_51_1_,33,33,15,0
skittles_sour_riegel_51_1_0000000000004,86,86,24,0
snickers___50__5000159461122,149,149,28,0
snickers_weiß__50__5000159461122,0,0,0,0
sprite__flasche_50__,0,0,0,0
stimorol_spearmint_riegel_14_1_,31,31,15,0
stimorol_spearmint_riegel_14_1_0000000000005,91,91,25,0
stimorol_wildcherry_riegel_14_1_57060330,120,120,26,0
tiki_himbeer_brause__50__00000000009342,74,74,25,0
tiki_himbeerbrause_dose_33_1_,43,43,17,0
toffifee___33__4014400924275,0,0,0,0
torino___46__76415272,0,0,0,0
twix___50__5000159459228,150,150,28,0
valser_classic__50__76404160,133,150,32,17
valser_still__50__7610335002575,117,165,32,19
valser_vivabirne__50__7610335001530,0,0,0,0
vitaminwell_reload__50__7350042716388,23,23,15,0
vivitz_classiczitrone__50__,0,0,0,0
vivitz_gruentee__50__,0,0,0,0
volvic_pinapple__50__305764335648,108,112,28,4
volvic_pink__50__,0,0,0,0
volvic_teeminze__50__,0,0,0,0
volvic_teeminze__50__3057640335648,0,0,0,0
wasser_???____,0,0,0,0
zweifel_graneochilli__100__7610095184009,121,121,27,0
zweifel_paprika__90__7610095013002,118,123,27,5
zweifel_saltedpeanuts____,0,0,0,0
zweifel_salz__90__7610095005007,0,0,0,0
